type,vmag,bmag,ra,de,smax,smin,angl,morp,snam,ids
GiG,nan,12.5625,29.42585171809826,35.91603065613276,0.02299980825637017,0.014499637834289864,130.70599701421045,S...,NGC 753,NGC 753|UGC 1437|PGC 7387|MCG+06-05-066
GiG,12.625,12.875,38.500041483310156,20.976800139313617,0.02566657024043685,0.023999577196130724,159.3538867707497,Sc ,NGC 976,NGC 976|UGC 2042|PGC 9776|MCG+03-07-027|SDSS J023400.02+205836.3
GiG,nan,12.6875,32.1854598786475,38.77725154096428,0.03666616301191854,0.012666585815787812,111.90581936148153,SB:bc,NGC 818,NGC 818|UGC 1633|PGC 8185|MCG+06-05-086
GiG,12.6875,13.625,17.097674454927876,33.133578927904416,0.022666409647508948,0.01549983366087354,51.92430018372743,SAB0 ,NGC 392,NGC 392|UGC 700|PGC 4042|MCG+05-03-062
GiG,12.6875,13.5,26.853525637043465,27.885705531963016,0.03633319128988043,0.012333187206926588,170.9920919843438,S0,NGC 670,NGC 670|UGC 1250|PGC 6570|MCG+05-05-012
GiG,12.75,13.5,33.51504840814419,27.877172918142378,0.048999777105668246,0.01799968289709804,66.695868339443,Sp,NGC 855,NGC 855|UGC 1718|PGC 8557|MCG+05-06-016
LIN,12.75,13.8125,45.42649192439003,35.205650001316464,0.03033287010402463,0.02299980825637017,69.82923128156447,SA0 ,NGC 1167,NGC 1167|UGC 2487|PGC 11425|MCG+06-07-033
G,12.75,13.0625,39.81234621911213,30.15166860043879,0.03499959685443554,0.01749979842721777,23.94784534335705,Sa ,NGC 1012,NGC 1012|UGC 2141|PGC 10051|MCG+05-07-027|SDSS J023914.85+300904.8
GiG,12.75,13.6875,36.97784844940829,20.332641583595173,0.03333303069695253,0.03083318146072803,144.13469533758823,Sa ,NGC 930,NGC 930|NGC 932|UGC 1931|PGC 9379|MCG+03-07-014|SDSS J022754.69+201957.0
G,nan,12.75,74.3379279451488,78.18874761806673,0.023166294117389224,0.02216652517762867,24.954997717610382,S,IC 391,IC 391|UGC 3190|PGC 16402|MCG+13-04-011
G,nan,12.75,31.714569561793926,44.57290952343525,0.045666644790702246,0.016166630878595992,160.24913332564157,S,NGC 812,NGC 812|UGC 1598|PGC 8066|MCG+07-05-014
LIN,nan,12.75,32.822224754589406,37.49721261880144,0.028999275668579728,0.014499637834289864,133.391736678886,SBa/Sb,NGC 841,NGC 841|UGC 1676|PGC 8372|MCG+06-05-101
Sy2,12.75,13.6875,40.64823843011658,34.76346013935528,0.01833308150595927,0.013499868894529313,97.5818744832119,SBa,NGC 1050,NGC 1050|UGC 2178|PGC 10257|MCG+06-06-078
AGN,12.8125,13.1875,21.59075047588039,34.70307785199779,0.048665951609983896,0.02483328716169535,66.695868339443,SBb,NGC 536,NGC 536|UGC 1013|PGC 5344|MCG+06-04-021|SDSS J012621.78+344211.2
IG,12.8125,13.5,37.04644062414814,19.59912024787087,0.026332940571336175,0.01633311673961504,154.87765399629046,Sc,NGC 935,NGC 935|UGC 1937|PGC 9388|MCG+03-07-015
Sy1,nan,12.8125,47.10926612077347,4.110916691606569,0.022499923786489896,0.017666284288236817,154.87765399629046,E,NGC 1218,NGC 1218|UGC 2555|PGC 11749|MCG+01-09-001
GiG,12.8125,14.5,36.53208298341661,31.912344519400804,0.029499587025283127,0.01649960260063409,56.84815623563262,Sab,NGC 917,NGC 917|UGC 1890|PGC 9258|MCG+05-06-039|SDSS J022607.67+315444.2
GiG,12.8125,13.5625,41.605468951726294,3.607253846454807,0.033999827914674985,0.0249997730227144,12.981075045931858,Sc ,NGC 1085,NGC 1085|UGC 2241|PGC 10498|MCG+00-08-010|SDSS J024625.30+033626.1
GiG,12.875,13.5,43.51144006980739,2.962113877929996,0.01833308150595927,0.010166523136151748,15.890626349330379,Sb,NGC 1137,NGC 1137|UGC 2374|PGC 10942|MCG+00-08-043|SDSS J025402.71+025743.4
rG,12.875,13.75,36.317727741599526,42.08985572237981,0.024332975804991948,0.016833001209495317,15.890626349330379,dE ,NGC 906,NGC 906|UGC 1868|PGC 9188|MCG+07-06-012
AGN,nan,12.875,26.817337587273446,35.563295781731235,0.038999526387123985,0.00949993936184086,35.80986219567409,Sab,NGC 669,NGC 669|UGC 1248|PGC 6560|MCG+06-05-004
GiP,nan,12.875,29.386417620925194,33.20923693334064,0.024666374413853175,0.023499692726250448,169.2015988745601,E,NGC 750,NGC 750|UGC 1430|PGC 7369|MCG+05-05-034
GiP,nan,12.875,29.38745922477362,33.20308293289846,0.02733313639791985,0.021666640707748396,138.76321600823712,E,NGC 751,NGC 751|UGC 1431|PGC 7370|MCG+05-05-035
GiG,12.875,13.5,27.673786960132336,21.759970120114737,0.04466602207729544,0.03083318146072803,91.76277187641486,Sbc ,NGC 691,NGC 691|UGC 1305|PGC 6793|MCG+04-05-019|SDSS J015041.70+214535.9
Sy2,12.9375,13.5,40.70119630184627,28.574267147475712,0.03133263904378518,0.022666409647508948,161.14437988053342,SAa ,NGC 1056,NGC 1056|UGC 2183|PGC 10272|MCG+05-07-032|SDSS J024248.31+283426.9
GiG,nan,13.0,43.21282078419987,42.20548057974436,0.022499923786489896,0.010666621049443586,31.781252698660758,SBb/Sb,NGC 1122,NGC 1122|NGC 1123|UGC 2353|PGC 10890|MCG+07-06-083
GiP,nan,13.0,45.30524582133855,44.95542060752345,0.03966632360484644,0.01833308150595927,50.80524199011262,SBc,NGC 1160,NGC 1160|UGC 2475|PGC 11403|MCG+07-07-014
GiG,nan,13.0,26.06082754235018,28.705874647498092,0.03183295040048858,0.0233332068652314,55.95290968074077,E,NGC 661,NGC 661|UGC 1215|PGC 6376|MCG+05-05-005
GiP,nan,13.0,27.44703321742439,21.970828305076772,0.028165992589838228,0.025999968849298075,159.3538867707497,E,NGC 680,NGC 680|UGC 1286|PGC 6719|MCG+04-05-015
rG,nan,13.0,32.53977594184189,39.190337966872036,0.047499696809204295,0.035499908211138936,114.5915590261571,Sa,NGC 828,NGC 828|UGC 1655|PGC 8283|MCG+06-05-092
PN,13.0,13.25,61.74746458766079,60.92063603768495,0.014499637834289864,0.014499637834289864,89.97227876663116,,NGC 1501,NAME Camel's Eye Nebula|NAME Oyster Nebula|NAME Blue Oyster Nebula|NGC 1501|V* CH Cam
